Subject,Alpha,Final_Heading,Final_Stdev,Trial_Number
13,20,-2.6037,2.5094,89
13,40,10.7582,0.74545,90
13,80,28.7276,3.1719,91
13,0,-2.2296,3.2184,92
13,50,15.6036,2.2637,93
13,50,-19.2762,2.1673,94
13,60,25.3092,2.2325,95
13,80,-28.2383,3.2999,96
13,50,-17.6635,1.8718,97
13,90,-30.1001,2.4804,98
13,90,36.3594,2.8024,99
13,70,-27.8453,1.8196,100
14,90,-26.7804,5.0734,1
14,90,-34.3478,3.4158,2
14,40,2.4498,1.309,3
14,120,-43.2486,6.9938,4
14,40,-10.3119,2.6848,5
14,50,21.5431,1.8409,6
14,60,24.6397,2.5128,7
14,20,-8.3035,2.3499,8
14,40,15.3411,1.6818,9
14,30,-14.5607,0.99093,10
14,60,25.919,0.42363,11
14,80,41.4495,4.7542,12
14,90,-37.6428,1.1949,13
14,20,6.0695,0.62556,14
14,60,11.8628,2.6977,15
14,80,33.1069,4.3333,16
14,90,-38.2208,2.2477,17
14,20,-3.7844,2.9659,18
14,30,7.9206,1.5358,19
14,70,28.4637,1.7347,20
14,90,-19.8486,3.6398,21
14,0,-0.99612,0.89195,22
14,90,37.9194,4.9834,23
14,30,11.706,1.1684,24
14,70,-30.5758,2.0598,25
14,20,-0.41444,2.8333,26
14,40,15.504,1.1292,27
14,70,-25.9366,2.0961,28
14,20,-7.3843,1.814,29
14,0,0.70961,0.43839,30
14,30,-10.604,1.8216,31
14,0,-0.92838,1.8316,32
14,50,-20.3596,2.735,33
14,50,-21.7113,2.9125,34
14,50,23.8543,1.2853,35
14,40,-19.9114,0.91183,36
14,40,-8.7241,1.2464,37
14,120,-54.6356,1.2509,38
14,120,-55.5793,4.3686,39
14,30,3.4169,1.9188,40
14,50,19.8551,3.1301,41
14,20,10.0725,2.3913,42
14,120,-56.8992,2.0294,43
14,0,1.9081,0.74803,44
14,20,-10.8534,1.8406,45
14,80,36.8977,1.5991,46
14,60,28.3435,2.406,47
14,80,-39.8434,4.2242,48
14,60,-33.0161,4.4377,49
14,70,-33.4315,0.70683,50
14,80,35.6955,2.7486,51
14,70,33.2513,2.2924,52
14,120,-54.9716,2.2399,53
14,80,32.803,1.6438,54
14,30,-11.4718,1.7037,55
14,50,-23.7946,3.3929,56
14,90,43.2504,2.8672,57
14,40,14.7561,1.5047,58
14,50,21.2407,0.81038,59
14,120,53.9468,4.5246,60
14,20,-8.4308,2.3206,61
14,0,3.2592,1.4549,62
14,60,-25.6422,1.7205,63
14,40,16.5319,1.2818,64
14,120,53.7291,0.54402,65
14,80,35.6037,1.3275,66
14,70,35.5856,1.1272,67
14,20,4.2578,1.6122,68
14,60,25.8146,1.5312,69
14,120,-59.7984,1.9961,70
14,30,-8.9816,0.94738,71
14,30,-15.6894,0.5817,72
14,0,2.584,1.1179,73
14,80,-37.6781,1.432,74
14,50,-23.1598,1.0805,75
14,70,24.1123,1.8994,76
14,90,42.4782,1.6142,77
14,40,16.4456,1.0991,78
14,120,-60.1558,1.6418,79
14,40,-12.9995,1.6646,80
14,60,-30.3997,2.4951,81
14,70,30.8113,1.8163,82
14,60,-27.4008,3.5117,83
14,0,-1.5994,1.5061,84
14,70,-31.8345,3.1053,85
14,80,32.1409,2.4932,86
14,0,-2.2728,1.1955,87
14,80,-38.8342,1.7077,88
14,30,-17.9208,2.4583,89
14,90,43.7663,1.9596,90
14,70,32.2715,1.9309,91
14,0,-3.1654,2.7007,92
14,90,-34.0684,4.9095,93
14,20,11.2792,2.6528,94
14,120,60.1953,2.5423,95
14,60,30.7447,1.2907,96
14,50,-15.4658,0.52848,97
14,0,2.2006,0.48175,98
14,50,25.3093,2.71,99
14,30,12.6063,0.78341,100
15,120,-56.5213,3.9692,1
15,120,45.2406,1.3286,2
15,30,19.6223,2.2161,3
15,70,-32.7382,3.2175,4
15,90,-13.2989,20.6124,5
15,20,1.6226,3.7052,6
15,90,34.6656,3.4045,7
15,80,-41.9201,4.8534,8
15,30,-15.155,2.7252,9
15,30,8.7189,2.3151,10
